"ORIGIN","ORIGIN_CITY_NAME","DEST","DEST_CITY_NAME",
"06A","Kizhuyak, AK","A43","Kodiak Island, AK",
"06A","Kizhuyak, AK","A43","Kodiak Island, AK",
"09A","Homer, AK","ADQ","Kodiak, AK",
"09A","Homer, AK","ADQ","Kodiak, AK",
"09A","Homer, AK","ORI","Port Lions, AK",
"1G4","Peach Springs, AZ","BLD","Boulder City, NV",
"7AK","Akun, AK","KQA","Akutan, AK",
"7AK","Akun, AK","DUT","Unalaska, AK",
"7AK","Akun, AK","DUT","Unalaska, AK",
"7AK","Akun, AK","KQA","Akutan, AK",
"A01","Fairbanks/Ft. Wainwright, AK","FAI","Fairbanks, AK",
"A1K","Deadhorse1, AK","SCC","Deadhorse, AK",
"A20","Alpine, AK","ANC","Anchorage, AK",
"A20","Alpine, AK","A20","Alpine, AK",
"A20","Alpine, AK","SCC","Deadhorse, AK",
"A27","Pogo Mines, AK","FAI","Fairbanks, AK",
"A29","Kiluda Bay, AK","A43","Kodiak Island, AK",
"A2L","Fort Payne, AL","TN8","Nashville, TN",
"A43","Kodiak Island, AK","AOS","Amook Bay, AK",
"A43","Kodiak Island, AK","KKB","Kitoi Bay, AK",
"A43","Kodiak Island, AK","KOY","Olga Bay, AK",
"A43","Kodiak Island, AK","KPY","Port Bailey, AK",
"A43","Kodiak Island, AK","AOS","Amook Bay, AK",
"A43","Kodiak Island, AK","KKB","Kitoi Bay, AK",
"A43","Kodiak Island, AK","KOY","Olga Bay, AK",
"A43","Kodiak Island, AK","KPY","Port Bailey, AK",
"A43","Kodiak Island, AK","KWP","West Point, AK",
"A43","Kodiak Island, AK","ALZ","Lazy Bay, AK",
"A43","Kodiak Island, AK","DGB","Danger Bay, AK",
"A43","Kodiak Island, AK","EHR","Eagle Harbor, AK",
"A43","Kodiak Island, AK","KKB","Kitoi Bay, AK",
"A43","Kodiak Island, AK","KOY","Olga Bay, AK",
"A43","Kodiak Island, AK","ONN","Onion Bay, AK",
"A43","Kodiak Island, AK","SYB","Seal Bay, AK",
"A43","Kodiak Island, AK","UGI","Uganik, AK",
"A43","Kodiak Island, AK","06A","Kizhuyak, AK",
"A43","Kodiak Island, AK","A29","Kiluda Bay, AK",
"A43","Kodiak Island, AK","AOS","Amook Bay, AK",
"A43","Kodiak Island, AK","DGB","Danger Bay, AK",
"A43","Kodiak Island, AK","EHR","Eagle Harbor, AK",
"A43","Kodiak Island, AK","KKB","Kitoi Bay, AK",
"A43","Kodiak Island, AK","KOY","Olga Bay, AK",
"A43","Kodiak Island, AK","KPY","Port Bailey, AK",
"A43","Kodiak Island, AK","SYB","Seal Bay, AK",
"A43","Kodiak Island, AK","06A","Kizhuyak, AK",
"A43","Kodiak Island, AK","A29","Kiluda Bay, AK",
"AAF","Apalachicola, FL","PTN","Patterson, LA",
"ABE","Allentown/Bethlehem/Easton, PA","DTW","Detroit, MI",
"ABE","Allentown/Bethlehem/Easton, PA","DTW","Detroit, MI",
"ABE","Allentown/Bethlehem/Easton, PA","SFB","Sanford, FL",
"ABE","Allentown/Bethlehem/Easton, PA","PIE","St. Petersburg, FL",
"ABE","Allentown/Bethlehem/Easton, PA","PGD","Punta Gorda, FL",
"ABE","Allentown/Bethlehem/Easton, PA","SFB","Sanford, FL",
"ABE","Allentown/Bethlehem/Easton, PA","BNA","Nashville, TN",
"ABE","Allentown/Bethlehem/Easton, PA","PIE","St. Petersburg, FL",
"ABE","Allentown/Bethlehem/Easton, PA","FLL","Fort Lauderdale, FL",
